Solution,UMKM (%),Env (%),Social (%),Resil (%),Economic Cost,Environmental Burden,Social Impact,Resilience Score
1,0.0,100.0,0.0,0.0,120.0,0.0,0.0,40.0
2,0.0,0.0,0.0,100.0,150.0,60.0,30.0,90.0
3,100.0,0.0,0.0,0.0,80.0,120.0,50.0,20.0
4,0.0,0.0,100.0,0.0,90.0,80.0,110.0,0.0
5,20.46,1.74,59.27,18.54,99.6,83.09,80.99,21.47
6,5.48,0.36,90.0,4.17,92.06,81.07,102.99,4.99
7,9.07,3.78,87.05,0.1,90.29,80.58,100.32,3.42
8,0.11,4.61,6.31,88.96,144.75,58.56,33.69,81.93
9,1.86,60.0,13.21,24.93,122.77,27.76,22.94,46.81
10,37.82,3.28,52.41,6.49,91.1,91.21,78.51,14.72
11,17.42,65.58,0.07,16.94,118.09,31.11,13.86,44.96
12,61.21,1.12,37.21,0.46,84.49,103.49,71.67,13.11
13,2.49,53.83,1.07,42.61,131.47,29.41,15.2,60.38
14,0.6,45.3,0.02,54.08,135.98,33.19,16.55,66.91
15,4.13,5.77,86.92,3.18,93.23,76.4,98.63,6.0
16,0.37,0.1,1.59,97.94,148.76,60.48,31.32,88.26
17,16.57,4.52,71.09,7.81,94.39,81.45,88.83,12.16
18,0.26,68.1,22.68,8.97,115.78,23.83,27.76,35.36
19,11.67,7.53,69.55,11.24,97.84,76.39,85.72,15.47
20,0.04,64.74,0.11,35.12,130.49,21.2,10.67,57.51
21,8.59,62.33,28.38,0.71,108.26,33.44,35.72,27.28
22,32.74,1.66,3.67,61.92,124.38,79.38,38.99,62.94
23,3.82,58.8,12.95,24.43,121.92,29.6,23.48,46.27
24,0.55,17.39,2.08,79.98,143.15,50.31,26.56,79.05
25,0.17,17.2,4.34,78.28,142.11,50.65,28.35,77.37
26,9.55,1.42,48.41,40.61,113.84,74.56,70.22,39.03
27,3.34,64.97,0.0,31.68,128.17,23.02,11.18,55.17
28,0.55,23.2,9.7,66.55,136.84,48.35,30.91,69.29
29,44.29,9.57,45.46,0.69,88.85,89.92,72.35,13.3
30,8.22,59.78,31.7,0.3,107.29,35.41,39.07,25.83
31,5.05,8.22,82.89,3.84,94.26,74.68,94.86,7.75
32,2.63,36.06,16.67,44.64,127.34,43.27,33.04,55.12
33,0.15,7.79,11.22,80.84,140.83,57.66,36.66,75.9
34,64.55,5.98,26.93,2.54,86.86,100.53,62.66,17.59
35,16.36,42.88,0.81,39.95,125.2,44.25,21.06,56.38
36,10.66,28.77,3.45,57.12,131.83,49.83,26.26,65.04
37,0.41,97.41,1.75,0.43,119.44,2.15,2.26,39.43
38,0.63,32.18,46.31,20.89,112.12,50.33,57.51,31.8
39,7.21,76.01,4.98,11.81,119.17,19.71,12.62,42.47
40,6.51,1.96,17.25,74.28,134.51,66.18,44.51,68.94
41,12.5,4.59,73.77,9.14,95.61,79.5,90.14,12.56
42,4.79,2.34,92.22,0.65,90.62,79.91,104.03,2.48
43,5.47,1.95,82.86,9.72,95.87,78.68,96.8,10.62
44,0.99,66.55,0.0,32.45,129.34,20.66,10.23,56.03
45,27.15,1.05,71.21,0.58,87.95,89.9,92.08,6.37
46,97.3,0.74,1.57,0.39,80.73,118.25,50.49,20.11
47,44.37,1.96,11.66,42.01,111.36,87.78,47.61,47.47
48,22.48,3.18,40.98,33.36,108.72,79.78,66.32,35.8
49,1.31,7.85,38.15,52.68,123.83,63.71,58.43,50.82
50,1.95,0.39,1.54,96.12,147.59,61.24,31.5,87.05
51,50.21,3.93,5.65,40.21,110.29,88.9,43.38,47.8
52,8.14,57.04,34.53,0.29,106.47,37.56,42.14,24.71
53,74.34,2.36,19.73,3.57,85.41,107.14,59.94,19.02
54,4.59,1.28,12.29,81.84,139.03,64.44,40.37,75.09
55,40.28,48.19,5.87,5.66,103.83,56.43,28.3,32.43
56,32.66,2.83,45.25,19.27,99.14,86.95,71.88,25.0
57,47.53,38.68,7.02,6.77,100.91,66.71,33.51,31.07
58,61.97,6.02,31.5,0.51,85.92,99.87,65.78,15.26
59,88.08,1.89,9.87,0.16,81.85,113.69,54.95,18.51
60,23.72,10.03,1.08,65.17,129.74,68.43,32.6,67.41
61,1.66,1.94,29.2,67.2,130.74,65.67,53.11,61.59
62,74.42,3.3,15.47,6.82,87.64,105.77,56.27,22.34
63,0.59,0.12,97.81,1.48,90.86,79.85,108.33,1.5
64,1.86,78.59,0.13,19.42,125.04,13.98,6.9,49.29
65,62.88,18.89,9.28,8.95,94.75,88.25,44.33,28.19
66,0.22,34.26,0.06,65.46,139.53,39.59,19.81,72.67
67,17.06,1.32,7.84,73.78,132.96,71.02,39.29,70.34
68,2.38,22.58,64.63,10.41,102.79,60.8,75.4,18.88
69,2.95,94.93,1.71,0.42,118.43,5.16,3.48,38.94
70,6.74,63.18,1.83,28.25,125.23,26.5,13.86,52.05
71,57.7,4.51,6.5,31.29,104.36,93.21,45.38,41.51
72,65.08,1.84,18.91,14.17,92.55,101.72,57.59,26.5
73,0.12,0.94,6.56,92.39,145.7,60.82,34.99,83.55
